Tiempo (s)	Voltaje (V)
0.523000	2.545540
0.524000	2.544249
0.525000	2.542958
0.526000	2.549737
0.527000	2.568137
0.528000	2.598803
0.529000	2.635281
0.530000	2.660137
0.531000	2.684993
0.532000	2.714368
0.533000	2.743098
0.534000	2.775056
0.535000	2.803786
0.536000	2.824123
0.537000	2.838004
0.538000	2.836712
0.539000	2.827028
0.540000	2.812502
0.541000	2.786354
0.542000	2.757625
0.543000	2.732446
0.544000	2.723730
0.545000	2.729863
0.546000	2.741484
0.547000	2.750200
0.548000	2.750523
0.549000	2.744712
0.550000	2.728249
0.551000	2.710495
0.552000	2.699842
0.553000	2.690803
0.554000	2.679505
0.555000	2.664656
0.556000	2.652389
0.557000	2.643351
0.558000	2.635281
0.559000	2.633021
0.560000	2.640768
0.561000	2.650775
0.562000	2.656586
0.563000	2.661428
0.564000	2.669175
0.565000	2.679182
0.566000	2.692095
0.567000	2.704361
0.568000	2.712109
0.569000	2.718565
0.570000	2.723730
0.571000	2.727281
0.572000	2.727603
0.573000	2.726635
0.574000	2.726635
0.575000	2.725989
0.576000	2.723730
0.577000	2.718242
0.578000	2.715660
0.579000	2.713077
0.580000	2.710495
0.581000	2.706298
0.582000	2.701456
0.583000	2.699196
0.584000	2.700488
0.585000	2.703070
0.586000	2.704684
0.587000	2.704684
0.588000	2.703393
0.589000	2.700488
0.590000	2.696291
0.591000	2.697582
0.592000	2.702102
0.593000	2.715014
0.594000	2.728895
0.595000	2.737611
0.596000	2.737288
0.597000	2.730186
0.598000	2.725989
0.599000	2.725344
0.600000	2.731154
0.601000	2.739547
0.602000	2.747940
0.603000	2.755042
0.604000	2.754719
0.605000	2.756979
0.606000	2.766018
0.607000	2.779253
0.608000	2.787323
0.609000	2.790874
0.610000	2.788614
0.611000	2.778607
0.612000	2.764081
0.613000	2.754074
0.614000	2.753751
0.615000	2.763112
0.616000	2.773442
0.617000	2.783126
0.618000	2.790551
0.619000	2.786677
0.620000	2.776670
0.621000	2.763112
0.622000	2.751491
0.623000	2.735996
0.624000	2.720825
0.625000	2.708558
0.626000	2.699196
0.627000	2.689189
0.628000	2.677246
0.629000	2.664656
0.630000	2.656263
0.631000	2.657554
0.632000	2.672726
0.633000	2.694032
0.634000	2.719533
0.635000	2.740839
0.636000	2.757625
0.637000	2.771183
0.638000	2.778930
0.639000	2.780221
0.640000	2.770537
0.641000	2.753428
0.642000	2.734705
0.643000	2.716305
0.644000	2.700488
0.645000	2.692095
0.646000	2.689835
0.647000	2.691772
0.648000	2.694032
0.649000	2.693709
0.650000	2.686930
0.651000	2.675309
0.652000	2.666593
0.653000	2.663042
0.654000	2.662396
0.655000	2.662719
0.656000	2.665302
0.657000	2.670789
0.658000	2.677891
0.659000	2.684670
0.660000	2.690803
0.661000	2.696291
0.662000	2.699842
0.663000	2.701133
0.664000	2.702747
0.665000	2.705975
0.666000	2.712109
0.667000	2.716628
0.668000	2.718565
0.669000	2.718888
0.670000	2.720502
0.671000	2.720179
0.672000	2.717596
0.673000	2.714046
0.674000	2.711140
0.675000	2.709203
0.676000	2.704684
0.677000	2.698874
0.678000	2.692417
0.679000	2.687898
0.680000	2.686607
0.681000	2.686607
0.682000	2.689512
0.683000	2.692095
0.684000	2.693709
0.685000	2.692095
0.686000	2.688544
0.687000	2.686284
0.688000	2.684670
0.689000	2.683379
0.690000	2.684347
0.691000	2.682410
0.692000	2.672403
0.693000	2.660460
0.694000	2.654326
0.695000	2.650775
0.696000	2.651421
0.697000	2.659814
0.698000	2.670144
0.699000	2.674986
0.700000	2.674986
0.701000	2.672081
0.702000	2.673049
0.703000	2.679505
0.704000	2.684670
0.705000	2.687898
0.706000	2.686607
0.707000	2.681765
0.708000	2.678214
0.709000	2.682733
0.710000	2.694354
0.711000	2.701779
0.712000	2.708235
0.713000	2.712754
0.714000	2.717274
0.715000	2.719856
0.716000	2.718565
0.717000	2.717596
